Country of Birth,Country of Residence,Film Category,Duration,Production Year,Connection With Kiarostami,Inspired By Kiarostami,Created At,Rejected,First Listed,Final Listed,Email Sent,Gender,Age,duration_mm_ss,Inspired_By_Kiarostami_clean
Iran,Iran,Fiction,14,2022,Kiarostami's pure and non-judgmental look at children was a great source of inspiration for us,"Homework, the bread and alley, First Case, Second Case",2024-03-22 17:04:37.150497+00:00,True,False,False,False,Male,,14:00,Other ways
Iran,Iran,Fiction,۷ دقیقه,2022,لالبیدتن,دببیاوک,2024-03-22 18:04:00.063802+00:00,True,False,False,False,Male,,07:00,Other ways
Iran,Iran,Documentary,۲۰ دقیقه,2023,فیلم مستند دایه با الهام گرفتن از شیوه رئالیسم کیارستمی ساخته شده ، از شیوه ساختاری فیلم ۱۰ استاد کیارستمی در اپیزود ۳ این فیلم استفاده شده ! دیالوگ محور و سادگی انسان در عین حال زیبایی را از نگاه آقای کیارستمی الهام گرفته ام,بله ، از فیلم ۱۰ در شیوه ساختاری اپیزود ۳ فیلم دایه استفاده کرده ام ، واز نگاه آقای کیارستمی که  به  سادگی انسان و در عین حال زیبایشان و عمیق بودنشان پرداخت می‌کرد استفاده کرده ام,2024-03-22 18:10:23.603996+00:00,True,False,False,False,Male,,20:00,Yes
Iran,Iran,Experimental,۱۲,2021,تا حدودی کادربندی، تأثیرات سایه روشن، پلان‌بندی هایی به صورت سطح عکس یا تابلو و دقت در اجزای نما,خیر,2024-03-22 20:00:02.720315+00:00,True,False,False,False,Male,,12:00,No
Iran,Iran,Fiction,4,2023,نوع نگاه شخصیت به کارکتر های پیرامونی و انزوای او در مقابل طیف مختلف عقاید.,"بله.
از فیلم طعم گیلاس ایشان در نوع روایت و تاثیر وقایع بر شخصیتی که در انزوا قرار دارد.",2024-03-22 20:11:02.478543+00:00,True,False,False,False,Male,,04:00,Yes
Iran,Iran,Fiction,17,2023,فضا سازی و بومی گرایی نزدیک ترین ارتباطی با فیلم ها استاد,خیر,2024-03-22 22:24:21.810797+00:00,True,False,False,False,Male,,17:00,No
Iran,Iran,Fiction,12,2022,فضا سازی و بومی گرایی و اقتباس,"بله , خانه دوست کجاست",2024-03-22 22:37:47.161760+00:00,True,False,False,False,Male,,12:00,Yes
Iran,Iran,Fiction,۱۵,2023,بومی گرایی ! توجه به درونیات انسان ها و توجه ویژه به کودکان که در آثار کیارستمی به وفور دیده میشود,خیر,2024-03-22 22:39:49.356480+00:00,True,False,False,False,Female,,15:00,No
Iran,Iran,Fiction,10,2022,در نگرش و نگاه استاد کیارستمی نگاه ویژه به جزئیات و یا معضلات خاص همواره دیده شده و به تبع پیروی از نگاه ایشان ایده ی ساخت فیلم با این موضوع ایجاد شد که در بیشتر مناطق جهان این نعضل بدون راه حل می باشد در پایان فیلم پیشنهاد راه اندازی *911# برای اعلام خطر داده شده که در صورت همکاری سازمان ملل میتواند همگانی شود.,بله ، در فیلم تمام تلاشم را کردم که همانند کتاب خانه ای با شیروانی قرمز موضوع و روایت فیلم در مرز میان واقعیت و داستان حفظ شود,2024-03-22 22:42:06.110881+00:00,True,False,False,False,Male,,10:00,Yes
Iran,Iran,Fiction,15,2023,فیلم تحت تاثیر فیلم گزارش ایشان بوده و با تفاوت به نقد به جامعه متوسط ، نقد به قوانین و علایق و پیچیدگی های قشر متوسط جامعه را با موضوعی در بر میگیرد,فیلم گزارش استاد ایده ی این فیلم را برایم ایجاد نمود,2024-03-22 22:51:00.573463+00:00,True,False,False,False,Male,,15:00,Other ways
Iran,Iran,Fiction,15 دقیقه,2023,عباس کیارستمی در طول دوران کاری خود نسبت به زنان و دغدغه آنان اشراف داشته و بخش عمده ای از دوران فیلم سازی اش به به بازنمایی زنان و مشکلات آنها اختصاص داده است . برای مثال در فیلم ( ده ) کیارستمی در تلاش بوده تا ضمن بازتاب مشکلات زنان ، نگاه جامعه به زن و انتظاراتی که از وی می رود را نیز نشان دهد و بر این مسئل تاکیید کند که نگاه و مشکلات و قوانین سنتی و کلیشه ای علیرغم گذشت سالها همچنان در جامعه وجود دارد . نکته بعدی در رابطه با آثار کیارستمی تنهایی کاراکتر هاست که همیشه توجه من را به عنوان یک مخاطب جلب میکرده و با تنهایی کاراکتر ها ارتباط عمیقی برقرار میکردم .  فیلم تصمیم هم تلاش کرده تا دغدغه یک زن در این جغرافیا به هنگام جدایی نشان دهد ، قوانین سخت و تنهایی زن را به تصویر میکشد و مخاطب را تنها برای دقایقی با موقعیت عجیبی که تعداد زیادی از زنان جامعه ممکن است بارها تجربه کنند یا تجربه کرده باشند رو به رو میکند . یک زن در موقیعتی که تنهایی عمیق و محض او به ما نشان داده می شود . قوانین و موقعیتی که حتی باور و شنیدن آن شاید برای افراد و زنان جغرافیای دور تر سخت و غیر و قابل درک باشد .,در فیلم ( ده ) کیارستمی در تلاش بوده تا ضمن بازتاب مشکلات زنان ، نگاه جامعه به زن و انتظاراتی که از وی می رود را نیز نشان دهد و بر این مسئل تاکید کند که نگاه و مشکلات و قوانین سنتی و کلیشه ای ( مردسالاری به هرشکلی ) علیرغم گذشت سالها همچنان در جامعه وجود دارد .  نمیتوانم بگویم که اقتباسی از فیلم ده انجام شده اما این فیلم من را به عنوان مخاطب با موضوع اصلی و درگیری های زن درگیر کرد و هنگام نوشتن متن اصلی این فیلم کوتاه به فیلم ده فکر میکردم و در تلاش بودم که اثری تولید کنم که همانند فیلم ده پس از گذشت سالیان سال بازهم برای مخاطب اثر بخش باشد و او را به فکر وا داردو موضوع اصلی یعنی زن را درک کند  و از طرفی همانند فیلم ده درگیر مسائل کاراکتر اصلی بشویم یا به عبارتی خود را جای آن زن بگذرایم و تصمیم بگیریم .,2024-03-22 23:19:47.957706+00:00,True,False,False,False,Female,,15:00,Other ways
Iran,Iran,Experimental,17,2021,مفهوم زندگی و زیستن مهم‌ترین دستمایه‌ی کیارستمی در آثارش است‌. او ستایشگر زندگی بود و بیشتر فیلم‌هایش در ستایش زندگی ساخته شده است. با اینکه بدی‌ها و تلخی‌ها را به نمایش می‌گذاشت اما خوش‌بین و امیدوار بود و در نهایت برنده‌ی نهایی زندگی بود. این میل به زیستن و بودن مهم‌ترین پل ارتباطی من با کیارستمی و دنیایش است.,"تجربه‌گرایی در فیلم‌های کیارستمی جزو جدانشدنی سینمای اوست. او همواره در حستحوی کشف و امکانات بصری و قابلیت‌های بیانی سینما بود و هیچ‌گاه از تجربه کردن و شکستن اصول و هنجارها نمی‌هراسید.
شاید به شکل مستقیم از فیلم مشخصی الهام نگرفته باشم، اما مجموعه‌ی آثار و فرم بیانی کیارستمی منبع الهام من بوده است.
به ویژه: زیر درختان زیتون
باد مارا خواهد برد 
و
شیرین",2024-03-23 00:42:36.128444+00:00,True,False,False,False,Male,40.0,17:00,Yes
Iran,Canada,Fiction,30,2022,"The film and style is heavily influenced by Kiarostami, so much so, that we decided to shoot the movie in Gilan province.","While Kiarostami's 'Taste of Cherry' undoubtedly left an indelible mark on me, my film, 'Silkworm' draws inspiration from his exploration of social realism and ethical dilemmas. Similar to Kiarostami's works, 'Silkworm' delves into the complexities of human experiences, portraying the struggles of Amin, a 12-year-old Iranian boy navigating poverty and moral dilemmas during a pandemic.",2024-03-23 01:10:46.847752+00:00,True,False,False,False,Male,,30:00,Other ways
Iran,Iran,Fiction,15,2023,الهام گرفته شده از استاتیک آثار کیارستمی و بازیگردانی بازیگر کودک,خیر.,2024-03-23 05:51:10.983575+00:00,True,False,False,False,Male,28.0,15:00,No
Iran,Iran,Fiction,11 دقیقه,2025,من به شدت تحت تاثیر نگاه استاد به زندگی و نوع روایت رئال ایشان از زندگی هستم. زندگی به معنای قوام احساس در کاراکترها که باعث همراهی و همدلی مخاطب می شود. تمام تلاشم بر نزدیک شدن به این فضا و اتمسفر بوده است.,تلاش کردم نگاه استاد کیارستمی در فیلمم مستتر باشد و تا حدودی به لحاظ فرم اجرایی و بازی شخصیت ها همچنین ایجاد اتمسفر و فضاسازی تاثیر نان و کوچه بر فیلمم مشهود است,2024-03-23 07:52:31.941472+00:00,True,False,False,False,Female,,11:00,Other ways
Iran,Iran,Fiction,15 دقیقه,2022,استفاده از شاعرانگی، کودکان به عنوان قهرمان داستان، بهره گیری از فضاهای روستایی مد نظر بنده برای خلق فیلمم بوده که این رویکرد در فیلم های جناب کیارستمی بسیار مورد توجهم قرار گرفته بوده است.,به لحاظ ساخت اتمسفر فیلم زیر درختان زیتون در هنگام ساخت فیلم مد نظر بنده بوده است.,2024-03-23 08:11:31.049783+00:00,True,False,False,False,Male,55.0,15:00,Other ways
afghanistan,France,Documentary,3:30,646,"I think the simplicity and depth of the film is close to Kiarostami's films, and my film is still independent","I can't say for sure about this movie, but it has influenced my work",2024-03-23 08:27:01.085052+00:00,True,False,False,False,Male,,03:30,Other ways
Iran,Iran,Fiction,۲۷,2024,"خواندن زندگینامه 
مشاهده همه آثار 
تحقیق در مورد شیوه نگرش و روایت آثار
آشنایی با نحوه اجرای ساختار و فرم در آثار استاد
مشاهده جلسات مسترکلاس ها و کارگاه های فیلمسازی استاد
خواندن تفکرات فیلمسازی و جامعه شناسی در وبسایت ها مجلات و غیره",یکی از فیلمهایی که به شدت الهام بخش من بود و هست فیلم طعم گیلاس است . هم در شخصیت پردازی و هم در ساختار و فرم دهمی .شیوه خاص همزاد پنداری با شخصیت ها و استفاده از جغرافیای خاص و محیط مخاطب راچ درگیر فضای اثر می کند,2024-03-23 08:37:11.552451+00:00,True,False,False,False,Male,,27:00,Other ways
Iran,Iran,Experimental,۱۵ دقیقه,2023,"فیلم خانه ی دوست کجاست 
نقطه عطف یک اتفاق در زندگی من با پوستر این فیلم بود و همیشه برام سوال بود میتونم فیلمهارو درک کنم یا فقط قراره فیلم هارو ببینم واین فیلم منو به درک دیدن فیلمهای بدی تشویق کرد.","بله فیلم خانه ی دوست کجاست و طعم گیلاس 
مرز امید ونا امیدی خط باریکه وانتخاب بسیار سخت 
حالا فکر کن تو باید یه مسیری رو طی کنی که به مقصد برسی نه مبدا مهمه نه مقصد طی کردن این مسیر میتونه چالش های خاص خودشو داشته باشه راه طولانیه و مسیر همیشه یه همراه میخواد خانه ی دوست کجاست همراه خودشو داره و طعم گیلاس هم نقش های خودشو داره آدم ها درس های بزرگی به هم میدن بدون اینکه اسمشون معلم باشه واین تنها دلیلی بود تا تئاتر رویاهارو بسازم",2024-03-23 09:40:14.831852+00:00,True,False,False,False,Male,,15:00,Yes
Iran,Iran,Experimental,8,2020,بخش دوم. فیلم کم هزینه,خیر,2024-03-23 09:48:45.668114+00:00,True,False,False,False,Male,,08:00,No
Iran,Iran,Fiction,24,2021,-,خیر,2024-03-23 11:33:56.526767+00:00,True,False,False,False,Male,,24:00,No
Iran,Iran,Fiction,۱۲,2022,"این فیلم کوتاه به لحاظ روایی دارای شاخصه های روایتی اثار عباس کیارستمی میباشد به معنای حذف روایت کلان و استفاده از خرده پیرنگ ها روایی 
به لحاظ فرمی نیز مانند اثار کیارستمی در پی فضاسازی میباشد",این فیلم به لحاظ بصری از فیلم پنج کیارستمی تاثیر گرفته است,2024-03-23 12:12:36.987505+00:00,True,False,False,False,Male,,12:00,Other ways
Iran,Iran,Fiction,14,2024,از نظر سبک و نگرش نسبت به فیلمسازی,خیر,2024-03-23 12:19:41.489895+00:00,True,False,False,False,Male,,14:00,No
Iran,Iran,Fiction,14,2023,-,خیر,2024-03-23 12:21:37.244226+00:00,True,False,False,False,Male,,14:00,No
Iran,Iran,Experimental,20 دقیقه,2024,سبک نورپردازی و جنس تصویر و کمی از روایت داستان فیلم مرتبط است . در ضمن این فیلم با دوربین نگاتیو و قدیمی فیلمبرداری شده است .,به شکل غیر مستقیم,2024-03-23 16:10:53.571487+00:00,True,False,False,False,Male,,20:00,Other ways
Iran,Iran,Fiction,4دقیقه,2024,دغدغه های مردم و جامعه,خیر,2024-03-23 16:30:50.008698+00:00,True,False,False,False,Male,29.0,04:00,No
Iran,Iran,Experimental,11:51,2023,"بیشترین ارتباطی که با آثار استاد دارد از طریق صدا در فیلم می باشد به این شکل که ما در طول فیلم تا چقدر باید توانایی شنیدن صدای بازیگران فیلم را داشته باشیم؟

و همچنین تجربه ای فیلم در فیلم برای نشان دادن این مضمون که پِلان در واقعیت و سینما چه فرقی با هم دارند؟",بله، پایان این فیلم را تا حدودی تحت تاثیر پایانبندی فیلم طعم گیلاس بوده ام.,2024-03-23 16:36:36.793974+00:00,True,False,False,False,Male,29.0,11:51,Yes
Iran,Iran,Fiction,11,2024,جامعه و واقع گرایی و برخورد آدم ها با مشکلاتی که جامعه برای آنها رغم میزند,خیر,2024-03-23 17:20:18.940831+00:00,True,False,False,False,Male,,11:00,No
Iran,Iran,Fiction,16:43,2024,علاقه زیاد به آثارر  استاد و  مخصوصا طعم گیلاس باعث شده سعی کنم حداقل در شخصیت پردازی از آثار ایشان الهام بگیرم,در ای فیلم خیر,2024-03-23 17:32:18.948166+00:00,True,False,False,False,Female,,16:43,No
Iran,Iran,Experimental,16:10,2024,من فکر می کنم جهان بینی اثر به صورت کلی با نوع بینش کیارستمی به فیلمسازی ارتباط ارتباط دارد.,شکل فیلم تخم مرغ دریایی عباس کیارستمی در فکر کلی اثر تاثیر گذار بوده است. حالتی که شاید به ظاهر اتفاق ویژه ای نمی افتد اما لحظه به لحظه 3 تخم مرغ برای مخاطب جان می گیرد و آن چیزی که به طور مستقیم در فیلم نشان داده نشده است در خیالات تماشا کننده فیلم سپری  می شود. شاید کسی نگران تخم مرغ ها شود، کسی به مادر آن ها و سرنوشتش فکر کند . شاید هم کسی آن را با زندگی خود پیوند دهد و...,2024-03-23 17:44:55.041324+00:00,True,False,False,False,Female,,16:10,Other ways
Iran,Iran,Experimental,6,2022,فیلم از نظر انسانی و جهان شمول بودن درباره نگرش و زندگی انسانها به نظر و تفکر استاد کیارستمی میتواند نزدیک باشد,خیر,2024-03-23 18:39:56.400214+00:00,True,False,False,False,Male,,06:00,No
Iran,Iran,Fiction,11 دقیقه,2023,عدم پذیرش از سوی دیگران به خاطر اشتباه,به صورت مستقیم خیر,2024-03-23 19:03:31.066865+00:00,True,False,False,False,Male,,11:00,No
Iran,Iran,Experimental,16:9,2024,اطلاعات قبلا ارسال شده. از آنجایی که گزینه اصلاح فرم ثبت نام وجود نداشت دوباره ثبت نام کرده ام. لینک فیلم ارسال شده در فرم قبلی نسخه قبل از ویرایش نهایی است و به اشتباه ارسال شده است. لطفا این لینک جدید را مورد داوری قرار دهید.,اطلاعات قبلا ارسال شده. از آنجایی که گزینه اصلاح فرم ثبت نام وجود نداشت دوباره ثبت نام کرده ام. لینک فیلم ارسال شده در فرم قبلی نسخه قبل از ویرایش نهایی است و به اشتباه ارسال شده است. لطفا این لینک جدید را مورد داوری قرار دهید.,2024-03-23 19:36:30.449899+00:00,True,False,False,False,Female,,16:09,Yes
Iran,Iran,Fiction,۳ دقیقه,2022,سادگی و استفاده از نابازیگر ، روزمرگی,به صورت مستقیم ، چیزی که میشد الهام گرفت سینما از تو دل مردم بود,2024-03-23 19:56:41.447101+00:00,True,False,False,False,Male,,03:00,Other ways
iran,Iran,Fiction,10:36,2023,"From using child actors to stories set in remote villages, to conversations taking place using fixed in-car cameras.",Where Is the Friend's House?,2024-03-23 20:44:17.040606+00:00,True,False,False,False,Male,,10:36,Other ways
Iran,Iran,Fiction,16 دقیقه,2024,تحت تأثیر موضوع زندگی از آثار کیارستمی,خیر,2024-03-23 21:23:32.189211+00:00,True,False,False,False,Male,,16:00,No
